Point Size      Radius
1000           2.4
2000           2.1
3000           2
4000           1.8
5000           1.8
6000           1.8
7000           1.6
8000           1.6
9000           1.5
10000           1.5
12000           1.5
14000           1.5
16000           1.45
18000           1.4
20000           1.35
24000           1.35
28000           1.3
32000           1.25
36000           1.25
40000           1.2
48000           1.1
56000           1.1
64000           1
72000           1
80000           1
96000           0.95
112000           0.95
128000           0.95
144000           0.9
160000           0.85
192000           0.85
224000           0.85
256000           0.8
288000           0.8
320000           0.8
384000           0.75
448000           0.7
512000           0.7
576000           0.7
640000           0.65
768000           0.6
